Transaction_ID,Date,Merchant,Category,Payment_Method,Employee,Quantity,Unit_Price,Subtotal,Tax_Amount,Tip_Amount,Discount,Total_Amount,Status,Notes
TXN-10004,06/27/2024,Amazon,Dining,Amex,Lisa K.,7,33.25,232.78,13.97,41.9,0.0,288.65,Refunded,Loyalty discount applied
TXN-10005,07/06/2024,Amazon,Transportation,Visa,Tom R.,5,44.6,222.99,13.38,0.0,0.0,236.37,Completed,Rush delivery
TXN-10050,07/15/2024,Marriott Hotels,Groceries,Amex,John D.,1,111.87,111.87,10.07,0.0,0.0,121.94,Refunded,Expense reimbursable
TXN-10033,07/16/2024,Chipotle,Transportation,Mastercard,Maria G.,6,55.42,332.51,29.93,0.0,10.0,352.44,Refunded,Office supplies
TXN-10034,07/25/2024,Costco,Dining,Amex,Maria G.,9,14.49,130.45,7.83,0,0.0,138.28,Completed,Monthly subscription
TXN-10018,07/29/2024,Starbucks,Food & Drink,Visa,Tom R.,8,9.9,79.24,4.75,0,0.0,83.99,Refunded,One-time purchase
TXN-10041,08/02/2024,Home Depot,Shopping,Visa,Lisa K.,7,48.24,337.7,33.77,0.0,10.0,361.47,Completed,
TXN-10042,08/07/2024,McDonald's,Shopping,Debit,Mike S.,2,44.9,89.8,8.98,16.16,0.0,114.94,Pending,Price matched
TXN-10011,08/29/2024,Marriott Hotels,Entertainment,Amex,Maria G.,11,18.64,205.07,20.51,0,0,225.58,Completed,Bulk order
TXN-10046,10/06/2024,Whole Foods Market,Office,Debit,Tom R.,10,18.16,181.59,10.9,0.0,0.0,192.49,Completed,One-time purchase
TXN-10014,10/19/2024,Target,Travel,Cash,John D.,3,120.1,360.29,21.62,0,36.03,345.88,Completed,Price matched
TXN-10036,10/24/2024,Netflix,Health,Debit,Maria G.,9,8.79,79.11,4.75,0,0.0,83.86,Refunded,One-time purchase
TXN-10039,10/25/2024,Uber Eats,Food & Drink,Amex,Ana P.,8,29.23,233.87,18.71,35.08,23.39,264.27,Refunded,
TXN-10024,11/02/2024,Walgreens,Transportation,Amex,John D.,6,3.88,23.26,1.4,4.19,0.0,28.85,Completed,Bulk order
TXN-10043,11/02/2024,McDonald's,Shopping,Debit,Tom R.,9,14.04,126.38,11.37,25.28,10.0,153.03,Completed,
TXN-10028,11/07/2024,Spotify,Entertainment,Visa,Maria G.,9,9.64,86.75,6.94,0.0,5.0,88.69,Refunded,Bulk order
TXN-10015,11/08/2024,Best Buy,Travel,Cash,Tom R.,7,23.67,165.7,11.6,33.14,5.0,205.44,Completed,Office supplies
TXN-10040,11/15/2024,Starbucks,Transportation,Debit,Ana P.,1,133.02,133.02,9.31,0,0,142.33,Completed,Rush delivery
TXN-10037,11/17/2024,CVS Pharmacy,Health,Debit,Mike S.,11,11.37,125.12,7.51,0,0.0,132.63,Completed,Price matched
TXN-10006,11/23/2024,Amazon,Office,Mastercard,Ana P.,5,63.67,318.37,22.29,0.0,0.0,340.66,Refunded,Office supplies
TXN-10001,11/25/2024,Marriott Hotels,Food & Drink,Cash,Tom R.,2,24.93,49.86,3.99,0.0,0.0,53.85,Completed,Regular purchase
